Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Drug
fungal infection,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
fungal infection,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DrugY
allergy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
allergy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
gerd,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gerd,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,drugA
chronic cholestasis,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,drugA
drug reaction,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
drug reaction,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
peptic ulcer diseae,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,drugA
aids,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
aids,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugC
diabetes,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
diabetes,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,drugX
gastroenteritis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
gastroenteritis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,drugA
